Episode 79, Goal reached at timestep: 210, States explored: 57, Total reward: -58.27204608863775
Episode 80, Goal reached at timestep: 95, States explored: 57, Total reward: -24.338762452442804
Episode 81, Goal reached at timestep: 825, States explored: 59, Total reward: -200.57931686831944
Episode 82, Goal reached at timestep: 287, States explored: 59, Total reward: -56.38445580923455
Episode 83, Goal reached at timestep: 468, States explored: 59, Total reward: -83.6790501602319
Episode 84, Goal reached at timestep: 216, States explored: 59, Total reward: -49.4010452173305
Episode 85, Goal reached at timestep: 206, States explored: 59, Total reward: -43.95232925318102
Episode 86, Goal reached at timestep: 247, States explored: 59, Total reward: -55.12722946915786
Episode 87, Goal reached at timestep: 221, States explored: 59, Total reward: -58.28921071493871
Episode 88, Goal reached at timestep: 78, States explored: 59, Total reward: -17.505254983804036
Episode 89, Goal reached at timestep: 153, States explored: 59, Total reward: -36.73892216609172
Episode 90, Goal reached at timestep: 343, States explored: 59, Total reward: -93.29673372437568
Episode 91, Goal reached at timestep: 148, States explored: 59, Total reward: -34.99100816633604
Episode 92, Goal reached at timestep: 172, States explored: 59, Total reward: -45.59226343381823
Episode 93, Goal reached at timestep: 164, States explored: 59, Total reward: -49.68791275821764
Episode 94, Goal reached at timestep: 363, States explored: 60, Total reward: -105.64012957313943
Episode 95, Goal reached at timestep: 486, States explored: 60, Total reward: -109.93414318139796
Episode 96, Goal reached at timestep: 218, States explored: 60, Total reward: -44.432675962263495
Episode 97, Goal reached at timestep: 416, States explored: 62, Total reward: -136.42197483206394
Episode 98, Goal reached at timestep: 103, States explored: 62, Total reward: -21.020709781639923
Episode 99, Goal reached at timestep: 472, States explored: 62, Total reward: -114.9419425665972
Episode 100, Goal reached at timestep: 366, States explored: 62, Total reward: -70.9655062944279
Episode 101, Goal reached at timestep: 136, States explored: 62, Total reward: -27.60601230088164
Episode 102, Goal reached at timestep: 93, States explored: 62, Total reward: -21.173700496285917
Episode 103, Goal reached at timestep: 338, States explored: 64, Total reward: -109.35499017258101
Episode 104, Goal reached at timestep: 292, States explored: 64, Total reward: -65.17428837334884
Episode 105, Goal reached at timestep: 323, States explored: 64, Total reward: -68.9542967583901
Episode 106, Goal reached at timestep: 329, States explored: 64, Total reward: -74.88982901285394
Episode 107, Goal reached at timestep: 332, States explored: 64, Total reward: -63.266507170664
Episode 108, Goal reached at timestep: 190, States explored: 64, Total reward: -42.148749885873734
Episode 109, Goal reached at timestep: 328, States explored: 64, Total reward: -70.37567688829841
Episode 110, Goal reached at timestep: 663, States explored: 64, Total reward: -118.52667772096432
Episode 111, Goal reached at timestep: 542, States explored: 64, Total reward: -95.35753758454638
Episode 112, Goal reached at timestep: 206, States explored: 64, Total reward: -50.7549019448902
Episode 113, Goal reached at timestep: 177, States explored: 64, Total reward: -37.26263082283036
Episode 114, Goal reached at timestep: 355, States explored: 64, Total reward: -61.6034492558262
Episode 115, Goal reached at timestep: 73, States explored: 64, Total reward: -21.65106128725667
Episode 116, Goal reached at timestep: 640, States explored: 64, Total reward: -121.00614403432202
Episode 117, Goal reached at timestep: 175, States explored: 64, Total reward: -45.761035953582365
Episode 118, Goal reached at timestep: 278, States explored: 64, Total reward: -67.5508813079695
Episode 119, Goal reached at timestep: 79, States explored: 64, Total reward: -17.990699126196667
Episode 120, Goal reached at timestep: 153, States explored: 64, Total reward: -31.411898443395227
Episode 121, Goal reached at timestep: 131, States explored: 64, Total reward: -25.487511753259863
Episode 122, Goal reached at timestep: 479, States explored: 64, Total reward: -124.1149291484413
Episode 123, Goal reached at timestep: 409, States explored: 64, Total reward: -79.26166459415074
Episode 124, Goal reached at timestep: 379, States explored: 64, Total reward: -115.98276974955138
Episode 125, Goal reached at timestep: 219, States explored: 64, Total reward: -59.074631933147295
Episode 126, Goal reached at timestep: 99, States explored: 64, Total reward: -27.05968483774691
Episode 127, Goal reached at timestep: 201, States explored: 64, Total reward: -45.95796129306586
Episode 128, Goal reached at timestep: 285, States explored: 64, Total reward: -56.77340657632807
Episode 129, Goal reached at timestep: 327, States explored: 64, Total reward: -81.47268953212661
Episode 130, Goal reached at timestep: 177, States explored: 64, Total reward: -53.16644361661556
Episode 131, Goal reached at timestep: 931, States explored: 64, Total reward: -177.8035461179577
Episode 132, Goal reached at timestep: 121, States explored: 64, Total reward: -40.58704757841178
Episode 133, Goal reached at timestep: 438, States explored: 64, Total reward: -92.9824214547135
Episode 134, Goal reached at timestep: 355, States explored: 64, Total reward: -76.88039874828588
Episode 135, Goal reached at timestep: 481, States explored: 64, Total reward: -97.67706654536863
Episode 136, Goal reached at timestep: 153, States explored: 64, Total reward: -33.012695007681266
Episode 137, Goal reached at timestep: 947, States explored: 64, Total reward: -224.22596731523896
Episode 138, Goal reached at timestep: 84, States explored: 64, Total reward: -21.640796578595875
Episode 139, Goal reached at timestep: 136, States explored: 64, Total reward: -30.171807026071654
Episode 140, Goal reached at timestep: 317, States explored: 64, Total reward: -61.168908599887175
Episode 141, Goal reached at timestep: 83, States explored: 64, Total reward: -18.422683537953528
